losses,delta,sigma1,sigma2,rho,filename
4.626581237792969,0.0015171,135.0,117.0,0.8,rope-256.jpg
5.5000990295410155,0.008700099999999999,1.0,122.0,0.9,ugly-ostrich-256.jpg
4.31403793334961,0.011732099999999999,38.0,71.0,1.0,blueberry-256.jpg
7.240458770751953,0.00041809999999999997,119.0,125.0,0.8,drink-beach-256.jpg
4.550677261352539,3.1e-06,3.0,70.0,1.0,waterfront-256.jpg
3.3086679840087885,0.00045109999999999996,89.0,66.0,0.4,laptop-256.jpg
8.889528976440431,3.81e-05,81.0,99.0,1.0,porcupine-256.jpg
2.040670181274414,3.41e-05,44.0,100.0,1.0,wave-256.jpg
16.36880812072754,0.0117261,46.0,149.0,0.7000000000000001,monkey-256.jpg
2.7401862487792967,1.1e-06,130.0,113.0,1.0,dog-water-256.jpg
4.795416442871094,0.0002371,88.0,109.0,1.0,old-truck-256.jpg
5.0686493072509755,0.0023880999999999998,45.0,142.0,0.7000000000000001,duck-256.jpg
2.6823934783935544,0.0003061,88.0,68.0,1.0,knights-256.jpg
4.1549457244873045,0.0005200999999999999,5.0,106.0,1.0,town-256.jpg
4.53887661743164,0.0010091,28.0,63.0,0.9,london-256.jpg
